word,count
路,8006
村,943
家,937
南,868
东,841
桥,808
新,781
西,669
街,633
北,591
中,572
公,556
海,491
园,436
港,382
大,379
河,354
华,331
江,318
金,307
山,285
弄,276
城,267
上,259
区,254
学,251
镇,248
浦,248
支,243
三,234
安,231
泾,231
浜,229
塘,229
二,200
民,199
一,199
兴,192
宅,183
道,180
小,175
平,174
龙,171
场,167
花,166
苑,166
阳,165
长,165
高,163
青,153
环,145
林,142
杨,138
心,138
湾,137
宝,137
水,135
星,131
川,131
建,130
厂,129
康,127
松,126
业,124
丰,121
富,120
永,118
虹,117
国,116
通,116
石,112
沙,110
张,110
门,110
四,106
天,105
汇,105
市,105
工,103
明,102
乐,99
春,97
泰,96
德,96
航,94
光,93
卫,93
五,92
亭,92
老,91
横,90
农,90
陈,89
校,89
头,88
宁,85
行,84
王,83
和,83
朱,83
白,82
联,82
文,82
地,81
秀,81
里,80
万,79
马,77
嘉,77
湖,75
车,75
盛,75
队,75
广,73
陆,72
泉,71
徐,70
云,70
院,69
楼,69
沪,69
梅,69
庄,68
周,68
溪,68
站,68
庙,67
福,67
口,67
六,67
黄,66
洪,64
沈,64
州,64
前,63
巷,62
方,62
科,62
化,61
古,60
育,59
定,59
吴,59
奉,59
红,58
申,58
兰,57
凤,57
馆,57
昌,57
罗,56
绿,56
赵,56
崇,56
叶,55
香,54
景,54
八,54
滨,54
庆,53
竹,52
漕,52
银,51
源,50
同,50
贤,50
九,50
人,50
翔,50
锦,50
生,49
博,49
团,48
圩,47
七,47
外,47
唐,47
双,46
钱,46
枫,46
爱,46
角,46
后,46
莘,46
商,45
临,45
顾,44
曹,44
达,44
纪,44
交,44
仓,44
铁,43
号,43
清,43
合,43
都,42
鹤,42
机,42
顺,42
闵,42
荣,42
淞,42
美,42
利,41
堂,40
闸,40
技,40
佳,40
下,40
政,40
墩,40
沿,40
田,39
祥,39
莲,39
塔,39
向,39
电,39
姚,38
房,38
线,38
普,38
幼,38
进,38
名,38
恒,38
太,37
儿,37
桃,37
风,37
渡,37
百,36
惠,36
开,36
木,36
瑞,36
界,36
运,36
祝,35
友,35
子,35
济,35
延,35
连,34
保,34
夏,34
堰,34
墅,34
会,34
吉,34
月,34
泗,34
洋,33
施,33
胜,33
物,33
柳,33
胡,32
店,32
昆,32
立,32
码,32
司,32
灶,32
旺,31
共,31
岸,31
桂,31
丹,31
经,31
玉,31
雅,31
李,30
凌,30
盈,30
岛,30
彭,30
潘,30
跃,30
发,30
油,30
十,30
紫,30
滩,29
苏,29
武,29
裕,29
动,29
埭,28
创,28
展,28
·,28
基,28
世,28
成,28
淀,27
庭,27
泖,27
芦,27
秋,27
台,27
洲,27
规,27
泽,26
居,26
盐,26
元,26
蔡,25
泥,25
产,25
鲁,25
谊,25
飞,25
潮,25
年,25
远,25
别,24
尚,24
义,24
隆,24
堡,24
沟,24
术,24
医,24
宣,24
悦,24
迎,24
振,24
练,23
真,23
窑,23
关,23
益,23
仁,23
府,23
无,23
所,22
际,22
孙,22
厦,22
管,22
图,22
谷,22
灵,22
丽,22
放,22
划,22
京,22
以,22
朝,21
书,21
果,21
辉,21
思,21
凯,21
毛,21
段,21
库,21
粮,21
斜,20
渔,20
厍,20
丁,20
坊,20
茂,20
火,20
崧,20
范,20
佘,20
纬,20
辅,20
洞,20
垦,20
原,20
端,20
*,20
雪,19
力,19
荡,19
池,19
蒸,19
实,19
树,19
望,19
职,19
廊,19
耀,19
霞,19
墙,18
复,18
珠,18
旗,18
峰,18
强,18
培,18
治,18
杭,18
钢,18
碧,18
齐,18
波,18
 ,18
体,18
茸,18
干,17
牛,17
欣,17
良,17
启,17
主,17
加,17
众,17
牌,17
艺,17
御,17
解,17
祁,17
菜,17
内,17
陵,17
俞,16
汤,16
寓,16
仙,16
寺,16
宜,16
刘,16
严,16
郊,16
贸,16
盘,16
宾,16
聚,16
米,15
屯,15
潭,15
营,15
勤,15
训,15
英,15
日,15
集,15
协,15
宏,15
伟,15
乡,15
群,15
芳,15
鹏,15
军,15
绣,15
程,15
岭,15
侧,15
寿,15
庵,14
重,14
吕,14
辰,14
边,14
杜,14
研,14
乔,14
腾,14
第,14
嘴,14
坡,14
漾,13
龚,13
千,13
倪,13
翠,13
先,13
陶,13
韩,13
秦,13
社,13
蓝,13
沥,13
局,13
殷,13
正,13
井,13
曲,13
谈,13
围,13
速,13
字,12
来,12
娄,12
斯,12
何,12
蒋,12
验,12
征,12
怡,12
设,12
邵,12
影,12
务,12
樱,12
野,12
语,12
季,12
流,12
包,12
晨,12
护,12
鸿,12
蒲,12
部,12
随,12
易,12
官,11
威,11
逸,11
出,11
润,11
汽,11
邸,11
智,11
贵,11
板,11
驾,11
苗,11
柏,11
津,11
竖,11
桐,11
汉,11
堤,11
钦,11
阜,11
拱,11
船,11
棉,11
晖,11
靖,11
靠,11
背,11
荷,10
听,10
砖,10
邱,10
欧,10
余,10
步,10
代,10
究,10
阁,10
境,10
虬,10
底,10
引,10
克,10
理,10
象,10
祠,10
馨,10
颛,10
圈,10
静,10
陇,10
涛,10
组,10
滧,10
圆,10
杰,10
藏,10
种,10
扬,10
入,10
繁,10
特,10
舍,9
乌,9
圣,9
宋,9
冯,9
装,9
草,9
薛,9
许,9
潼,9
附,9
曙,9
栅,9
柴,9
郁,9
项,9
鑫,9
久,9
法,9
-,9
士,9
牧,9
凰,9
师,9
浏,9
浩,9
活,9
皮,9
教,9
诸,9
才,9
宇,9
喜,9
灯,9
驰,9
轻,9
储,9
招,9
菊,9
结,8
谢,8
岑,8
岳,8
委,8
观,8
致,8
岗,8
间,8
好,8
湄,8
甘,8
色,8
信,8
融,8
肖,8
涵,8
虎,8
半,8
资,8
时,8
蟠,8
侯,8
豪,8
朗,8
蕰,8
蕴,8
瀛,8
办,8
坝,8
姜,8
药,8
健,8
洛,8
兆,8
伦,8
屏,8
妙,8
伸,8
县,8
轨,8
辽,8
修,8
晓,8
森,7
坪,7
章,7
迪,7
土,7
领,7
属,7
幸,7
郡,7
其,7
念,7
鼎,7
翁,7
鸡,7
浪,7
品,7
黎,7
杆,7
巴,7
辛,7
厅,7
分,7
作,7
君,7
球,7
硕,7
全,7
礼,7
防,7
淡,7
韵,7
意,7
藻,7
拓,7
财,7
亚,7
陀,7
闻,7
汾,7
柘,7
容,7
瞿,7
尔,7
本,7
造,7
瓦,7
笋,7
坦,7
如,7
自,7
凇,7
点,7
翟,7
淮,7
阴,7
面,7
斗,7
皋,7
蒙,7
善,7
态,6
舟,6
服,6
旦,6
雨,6
纺,6
桑,6
栖,6
B,6
回,6
现,6
固,6
览,6
欢,6
费,6
慧,6
嵩,6
浙,6
湘,6
澜,6
戴,6
游,6
置,6
更,6
穗,6
轩,6
温,6
冬,6
打,6
皇,6
封,6
候,6
零,6
骏,6
空,6
升,6
气,6
烟,6
煤,6
梧,6
舒,6
排,6
呼,6
玛,6
汶,6
粤,6
杉,6
宫,6
料,6
多,6
于,6
衣,6
肥,6
鹿,6
登,6
哨,6
沧,6
燕,6
樟,6
密,6
肇,6
权,6
旋,6
愚,6
哈,6
胶,6
制,6
豫,6
冷,5
尼,5
度,5
任,5
钟,5
锋,5
畔,5
带,5
勋,5
织,5
怀,5
鱼,5
格,5
晶,5
彩,5
耕,5
羊,5
薇,5
视,5
杏,5
沁,5
纳,5
旧,5
郭,5
邑,5
计,5
梁,5
莱,5
湿,5
议,5
知,5
伊,5
典,5
汛,5
驳,5
夹,5
弘,5
茜,5
涞,5
驶,5
员,5
邓,5
期,5
乾,5
顶,5
少,5
拾,5
有,5
限,5
志,5
诚,5
褚,5
隍,5
坤,5
筑,5
熙,5
邮,5
椿,5
养,5
鸥,5
燎,5
宿,5
径,5
越,5
岚,5
泐,5
接,5
洼,5
帆,5
牡,5
A,5
绥,5
郎,5
跨,5
叉,5
轮,5
禄,5
配,5
凉,5
衡,5
孔,5
墨,5
慈,5
战,5
敬,5
澳,5
沂,5
酒,4
假,4
深,4
能,4
贺,4
甸,4
坟,4
莫,4
蔷,4
豆,4
增,4
锡,4
巡,4
冈,4
亮,4
植,4
企,4
戚,4
汪,4
E,4
梨,4
赛,4
鸟,4
照,4
诺,4
董,4
近,4
颐,4
孟,4
奚,4
之,4
C,4
劳,4
禾,4
室,4
萧,4
音,4
震,4
邦,4
剑,4
庐,4
旅,4
综,4
磊,4
等,4
络,4
臣,4
邢,4
谐,4
为,4
雷,4
棠,4
谭,4
税,4
响,4
钥,4
直,4
麦,4
可,4
槐,4
荫,4
恩,4
极,4
布,4
拉,4
艾,4
常,4
岩,4
垃,4
圾,4
茭,4
/,4
芙,4
蓉,4
器,4
弯,4
械,4
沽,4
泵,4
控,4
芷,4
峨,4
镜,4
咸,4
雄,4
铜,4
澄,4
槎,4
目,4
浴,4
笔,4
宛,4
榭,4
亩,3
袁,3
溇,3
试,3
贡,3
贞,3
坞,3
腰,3
旭,3
甪,3
翡,3
茹,3
尖,3
待,3
葛,3
扶,3
销,3
奇,3
便,3
璜,3
琴,3
优,3
瓜,3
首,3
息,3
塑,3
尾,3
统,3
漳,3
希,3
画,3
级,3
付,3
查,3
菲,3
塌,3
猛,3
将,3
捷,3
住,3
副,3
埝,3
鸣,3
阔,3
食,3
屿,3
贝,3
坛,3
鸽,3
满,3
走,3
烧,3
忠,3
臻,3
存,3
污,3
蚂,3
芝,3
冶,3
剧,3
两,3
专,3
片,3
具,3
示,3
卢,3
柿,3
材,3
哥,3
琪,3
茅,3
吊,3
召,3
维,3
夫,3
沉,3
毕,3
箭,3
效,3
阿,3
傅,3
屑,3
甲,3
收,3
套,3
故,3
汲,3
泓,3
耶,3
滴,3
皓,3
狮,3
终,3
卸,3
抚,3
守,3
佑,3
昭,3
遵,3
番,3
炮,3
寨,3
货,3
邬,3
丘,3
奎,3
榆,3
煌,3
颜,3
硝,3
凝,3
巨,3
陂,3
殿,3
棋,3
钩,3
町,3
吾,3
栏,3
糖,3
粉,3
戬,3
阀,3
晋,3
襄,3
冲,3
桦,3
榉,3
核,3
冰,3
壕,3
黑,3
卡,3
崂,3
沔,3
梓,3
鞍,3
眉,3
芬,3
卜,2
拦,2
菱,2
尤,2
穴,2
洙,2
玫,2
瑰,2
童,2
起,2
刀,2
蓬,2
灿,2
恬,2
俭,2
蟹,2
腐,2
炬,2
幻,2
遗,2
狄,2
邹,2
碾,2
玄,2
叙,2
龄,2
应,2
焦,2
蔚,2
烈,2
印,2
伏,2
G,2
单,2
想,2
梦,2
敏,2
诗,2
樽,2
芭,2
奥,2
翱,2
瀚,2
仕,2
供,2
汀,2
冠,2
件,2
宗,2
