mc,dm
远景路,027437
中潭路,000540
平型关路,001086
九亭镇涞亭北路,270744
涞亭北路,273452
涞亭北路,029022
九亭镇涞寅路,272064
涞寅路,273448
临泽路,030614
云屏路,030366
崇信路,028845
白银路,028840
潍坊西路,008392
凯滨路,030406
东安路,000714
四团镇东安路,260241
靖边路,027266
东方路,010423
秀泽路,291828
西泰林路,027269
康桥镇御衡路,253746
莘松路,005988
新桥镇莘松路,270789
北蔡镇绿林路,024301
崂山路,027595
浦电路,005752
青村镇施威海路,261600
威海路,005186
大沽路,000038
畹町路,007909
康桥镇秀沿路,252015
大华路,000584
华灵路,001690
新沪路,007970
江桥镇金园一路,020669
崂山东路,005692
潍坊路,008390
沪亭北路,273451
九亭镇沪亭北路,271041
七莘路,000019
源深路,008120
同鸣路,027207
美艾路,027703
康桥镇康桥路,251184
横沔镇康桥路,252763
绿莲路,024888
老沪闵路,001842
抚顺路,002496
泗泾镇新家园路,271156
张杨路,003072
福山路,007756
武威东路,027332
真金路,006248
杜鹃路,027052
春申路,004490
泗泾镇古楼公路,272049
汇川路,009248
云谷路,030365
康桥镇秀沿西路,253736
龙阳路,000957
崧文路,291786
西藏南路,002054
建国东路,003600
金耀南路,030609
秋竹路,030737
闵驰一路,030540
青桐路,011932
江杨南路,001807
泗凯路,273350
何家湾路,002518
国权北路,003494
高逸路,024949
新场镇沪南路,252100
航头镇沪南路,252192
康桥镇沪南路,252001
周浦镇沪南路,251200
沪南路,010821
航头镇沪南路,252258
莲花南路,005727
张虹路,003043
浦涛路,024871
保屯路,004509
南桥镇西闸公路,262316
南桥镇扶港路,262228
江协路,024872
江文路,029021
聚丰园路,008375
齐恒路,028997
广富林路,272031
物华路,004016
虹漕路,004626
西凌家宅路,002010
制造局路,004286
武夷路,004014
利津路,010841
华发路,024015
营口路,007004
江桥镇金耀路,020688
金耀路,023222
银春路,007001
江桥镇鹤霞路,020691
河南南路,003530
沪闵路,002540
雪松路,006993
先新路,028000
桃浦路,024029
桃浦路,005862
万航渡路,000167
威宁路,005188
碧云路,011992
丰庄西路,022107
江桥镇丰庄西路,020648
丰庄北路,022106
泗凤公路,272042
泗泾镇泗通路,273255
泗通路,273369
泗泾镇泗宝路,273254
泗宝路,273367
金口路,008961
枣庄路,008959
张江镇申江路,027308
申江路,010477
江桥镇申江路,021918
江桥申江路,023209
曲江路,001896
江桥镇曲江路,021902
江桥镇丰江路,021919
丰江路,022112
梅家浜路,272202
康桥镇康佳路,253079
海潮路,005614
陆家浜路,002675
台儿庄路,011958
荷泽路,011982
长岛路,010301
共富路,001567
共和新路,001571
广延路,000078
南翔镇德华路,020325
宜山路,004232
陕西北路,003883
临平路,004760
九亭镇九杜路,272151
九杜路,273450
龙华西路,000928
长岭路,000232
延吉西路,002126
黄兴路,006674
江浦路,001790
山阳镇沪杭公路,280423
沪杭公路,002536
南桥镇沪杭公路,260537
漕泾镇沪杭公路,280439
真大路,006234
真朋路,029098
育婴堂路,004254
京江路,003720
王家厍路,273289
恒业路,004622
双辽支路,000375
西营南路,002053
莘朱路,006030
联杨路,007378
中山南一路,000534
御桥路,011501
浦明路,024074
浦城路,005750
崧漪一路,292811
秀涓路,292791
九亭镇沪亭路,270635
漕宝路,008334
虹许路,004662
沪松公路,270473
横港路,254638
西横港路,010678
泗泾镇横港路,272055
南桥镇育秀路,260628
亭林镇紫薇路,280823
紫薇路,011936
南陈路,004844
杨思路,010888
城鸿路,273347
白丽路,009242
成山路,010615
博山东路,007222
御青路,011503
康桥镇御青路,252761
御山路,011504
济阳路,004706
西营路,002052
德州路,008668
真光路,006235
安顺路,001498
北蕴川路,008735
丁香路,024442
高科西路,027339
博文路,011599
海马路,261660
顾村镇菊泉街,006684
川沙镇新德西路,027671
宝菊路,029042
东体育会路,000780
南桥镇江南路,262272
碧江南路,030005
真江南路,006246
长江南路,000228
浙江南路,006222
申江南路,030276
赵巷镇盈港东路,290795
盈港东路,290789
徐泾镇盈港东路,290793
青浦工业园区华盈路,291171
华盈路,290339
沪太路,002550
老沪太路,001846
三林路,000111
交通西路,001822
德悦路,273270
红林路,030246
洪山路,004668
锦绣路,011705
三林镇新村路,002979
新村路,007952
廊下镇新村路,282004
花木镇锦和路,005471
江航路,024873
东书房路,027683
龙吴路,000955
龙漕路,000918
高东新路,027199
东新路,000784
张江镇孙环路,027673
孙桥镇孙耀路,028570
张江镇孙建路,024513
白虬江路,292877
宣桥镇南六公路,252309
南六公路,253210
永恩路,030818
潘泾路,008714
昆阳路,003734
天星路,000570
金汇镇金碧路,262126
汇源路,021421
外冈镇瞿门路,021638
外冈镇恒飞路,027388
外冈镇恒飞路,021640
汇旺东路,021432
朱家角镇沪青平公路,290433
赵巷镇沪青平公路,290442
青浦镇沪青平公路,290473
徐泾镇老沪青平公路,290327
金泽镇沪青平公路,290435
沪青平公路,290471
西岑镇沪青平公路,290443
沪青平公路,002541
环城镇沪青平公路,290437
徐泾镇沪青平公路,290431
肖塘路,261748
新园路,024078
高东镇新园路,008104
北新园路,030004
朱泾镇新园路,280685
青浦新园路,291859
白鹤镇外青松公路,290237
外青松公路,290223
佘山镇外青松公路,270212
外冈镇外青松公路,021533
青浦镇外青松公路,290227
外青松公路,290219
外青松公路,020448
重固镇外青松公路,290217
外青松公路,023007
佘山镇桃源西路,271099
佘山镇桃源路,271097
桃源路,005894
柘林镇新柘东路,262762
金汇塘东路,262179
金汇塘路,262178
秋亭路,031060
竹柏路,254837
恒荣路,023165
草高支路,011108
航头镇航梅路,253432
绿湖路,292620
柘林镇联业路,262734
海湾镇明城路,262044
汇延路,030725
鲁康路,030728
朱家角镇珠安路,291236
朱家角镇浦祥路,291254
朱家角镇复兴路,290823
高行镇高行复兴路,011318
